t_s,commanded_tire_friction,schedule
0.000,1.000000,decay_2pct_s
1.000,0.999000,decay_2pct_s
2.000,0.998000,decay_2pct_s
3.000,0.997000,decay_2pct_s
4.000,0.996000,decay_2pct_s
5.000,0.995000,decay_2pct_s
6.000,0.994000,decay_2pct_s
7.000,0.993000,decay_2pct_s
8.001,0.991999,decay_2pct_s
9.000,0.991000,decay_2pct_s
10.000,0.990000,decay_2pct_s
11.000,0.989000,decay_2pct_s
12.000,0.988000,decay_2pct_s
13.000,0.987000,decay_2pct_s
14.000,0.986000,decay_2pct_s
15.000,0.985000,decay_2pct_s
16.000,0.984000,decay_2pct_s
17.000,0.983000,decay_2pct_s
18.000,0.982000,decay_2pct_s
19.000,0.981000,decay_2pct_s
20.000,0.980000,decay_2pct_s
21.000,0.979000,decay_2pct_s
22.000,0.978000,decay_2pct_s
23.000,0.977000,decay_2pct_s
24.000,0.976000,decay_2pct_s
25.000,0.975000,decay_2pct_s
26.000,0.974000,decay_2pct_s
27.000,0.973000,decay_2pct_s
28.000,0.972000,decay_2pct_s
29.000,0.971000,decay_2pct_s
30.000,0.970000,decay_2pct_s
31.000,0.969000,decay_2pct_s
32.000,0.968000,decay_2pct_s
33.000,0.967000,decay_2pct_s
34.000,0.966000,decay_2pct_s
35.000,0.965000,decay_2pct_s
36.000,0.964000,decay_2pct_s
37.000,0.963000,decay_2pct_s
38.000,0.962000,decay_2pct_s
39.000,0.961000,decay_2pct_s
40.000,0.960000,decay_2pct_s
41.000,0.959000,decay_2pct_s
42.000,0.958000,decay_2pct_s
43.000,0.957000,decay_2pct_s
44.000,0.956000,decay_2pct_s
45.000,0.955000,decay_2pct_s
46.000,0.954000,decay_2pct_s
47.000,0.953000,decay_2pct_s
48.000,0.952000,decay_2pct_s
49.000,0.951000,decay_2pct_s
50.000,0.950000,decay_2pct_s
51.000,0.949000,decay_2pct_s
52.000,0.948000,decay_2pct_s
53.000,0.947000,decay_2pct_s
54.000,0.946000,decay_2pct_s
55.000,0.945000,decay_2pct_s
56.000,0.944000,decay_2pct_s
57.000,0.943000,decay_2pct_s
58.000,0.942000,decay_2pct_s
59.000,0.941000,decay_2pct_s
60.000,0.940000,decay_2pct_s
61.000,0.939000,decay_2pct_s
62.000,0.938000,decay_2pct_s
63.000,0.937000,decay_2pct_s
64.000,0.936000,decay_2pct_s
65.000,0.935000,decay_2pct_s
66.000,0.934000,decay_2pct_s
67.000,0.933000,decay_2pct_s
68.000,0.932000,decay_2pct_s
69.000,0.931000,decay_2pct_s
70.000,0.930000,decay_2pct_s
71.000,0.929000,decay_2pct_s
72.000,0.928000,decay_2pct_s
73.000,0.927000,decay_2pct_s
74.000,0.926000,decay_2pct_s
75.000,0.925000,decay_2pct_s
76.000,0.924000,decay_2pct_s
77.000,0.923000,decay_2pct_s
78.000,0.922000,decay_2pct_s
79.000,0.921000,decay_2pct_s
80.000,0.920000,decay_2pct_s
81.000,0.919000,decay_2pct_s
82.000,0.918000,decay_2pct_s
83.000,0.917000,decay_2pct_s
84.000,0.916000,decay_2pct_s
85.000,0.915000,decay_2pct_s
86.000,0.914000,decay_2pct_s
87.000,0.913000,decay_2pct_s
88.000,0.912000,decay_2pct_s
89.000,0.911000,decay_2pct_s
90.000,0.910000,decay_2pct_s
91.000,0.909000,decay_2pct_s
92.000,0.908000,decay_2pct_s
93.000,0.907000,decay_2pct_s
94.000,0.906000,decay_2pct_s
95.001,0.904999,decay_2pct_s
96.000,0.904000,decay_2pct_s
97.000,0.903000,decay_2pct_s
98.000,0.902000,decay_2pct_s
99.000,0.901000,decay_2pct_s
100.000,0.900000,decay_2pct_s
101.000,0.899000,decay_2pct_s
102.000,0.898000,decay_2pct_s
103.000,0.897000,decay_2pct_s
104.000,0.896000,decay_2pct_s
105.000,0.895000,decay_2pct_s
106.000,0.894000,decay_2pct_s
107.000,0.893000,decay_2pct_s
108.000,0.892000,decay_2pct_s
109.000,0.891000,decay_2pct_s
110.000,0.890000,decay_2pct_s
111.000,0.889000,decay_2pct_s
112.000,0.888000,decay_2pct_s
113.000,0.887000,decay_2pct_s
114.000,0.886000,decay_2pct_s
115.000,0.885000,decay_2pct_s
116.000,0.884000,decay_2pct_s
117.000,0.883000,decay_2pct_s
118.000,0.882000,decay_2pct_s
119.000,0.881000,decay_2pct_s
120.000,0.880000,decay_2pct_s
121.000,0.879000,decay_2pct_s
122.000,0.878000,decay_2pct_s
123.000,0.877000,decay_2pct_s
124.000,0.876000,decay_2pct_s
125.000,0.875000,decay_2pct_s
126.000,0.874000,decay_2pct_s
127.000,0.873000,decay_2pct_s
128.000,0.872000,decay_2pct_s
129.000,0.871000,decay_2pct_s
130.000,0.870000,decay_2pct_s
131.000,0.869000,decay_2pct_s
132.000,0.868000,decay_2pct_s
133.000,0.867000,decay_2pct_s
134.000,0.866000,decay_2pct_s
135.000,0.865000,decay_2pct_s
136.000,0.864000,decay_2pct_s
137.000,0.863000,decay_2pct_s
138.000,0.862000,decay_2pct_s
139.000,0.861000,decay_2pct_s
140.000,0.860000,decay_2pct_s
141.000,0.859000,decay_2pct_s
142.000,0.858000,decay_2pct_s
143.000,0.857000,decay_2pct_s
144.000,0.856000,decay_2pct_s
145.000,0.855000,decay_2pct_s
146.000,0.854000,decay_2pct_s
147.000,0.853000,decay_2pct_s
148.000,0.852000,decay_2pct_s
149.000,0.851000,decay_2pct_s
150.000,0.850000,decay_2pct_s
151.000,0.849000,decay_2pct_s
152.000,0.848000,decay_2pct_s
153.000,0.847000,decay_2pct_s
154.000,0.846000,decay_2pct_s
155.000,0.845000,decay_2pct_s
156.000,0.844000,decay_2pct_s
157.000,0.843000,decay_2pct_s
158.000,0.842000,decay_2pct_s
159.000,0.841000,decay_2pct_s
160.000,0.840000,decay_2pct_s
161.000,0.839000,decay_2pct_s
162.000,0.838000,decay_2pct_s
163.000,0.837000,decay_2pct_s
164.000,0.836000,decay_2pct_s
165.000,0.835000,decay_2pct_s
166.000,0.834000,decay_2pct_s
167.000,0.833000,decay_2pct_s
168.000,0.832000,decay_2pct_s
169.000,0.831000,decay_2pct_s
170.000,0.830000,decay_2pct_s
171.000,0.829000,decay_2pct_s
172.000,0.828000,decay_2pct_s
173.000,0.827000,decay_2pct_s
174.000,0.826000,decay_2pct_s
175.000,0.825000,decay_2pct_s
176.000,0.824000,decay_2pct_s
177.000,0.823000,decay_2pct_s
178.000,0.822000,decay_2pct_s
179.000,0.821000,decay_2pct_s
180.000,0.820000,decay_2pct_s
181.000,0.819000,decay_2pct_s
182.000,0.818000,decay_2pct_s
183.000,0.817000,decay_2pct_s
184.000,0.816000,decay_2pct_s
185.000,0.815000,decay_2pct_s
186.000,0.814000,decay_2pct_s
187.000,0.813000,decay_2pct_s
188.000,0.812000,decay_2pct_s
189.000,0.811000,decay_2pct_s
190.000,0.810000,decay_2pct_s
191.000,0.809000,decay_2pct_s
192.000,0.808000,decay_2pct_s
193.000,0.807000,decay_2pct_s
194.000,0.806000,decay_2pct_s
195.000,0.805000,decay_2pct_s
196.000,0.804000,decay_2pct_s
197.000,0.803000,decay_2pct_s
198.000,0.802000,decay_2pct_s
199.000,0.801000,decay_2pct_s
200.000,0.800000,decay_2pct_s
201.000,0.799000,decay_2pct_s
202.000,0.798000,decay_2pct_s
203.000,0.797000,decay_2pct_s
204.000,0.796000,decay_2pct_s
205.000,0.795000,decay_2pct_s
206.000,0.794000,decay_2pct_s
207.000,0.793000,decay_2pct_s
208.000,0.792000,decay_2pct_s
209.000,0.791000,decay_2pct_s
210.000,0.790000,decay_2pct_s
211.003,0.788997,decay_2pct_s
212.000,0.788000,decay_2pct_s
213.000,0.787000,decay_2pct_s
214.000,0.786000,decay_2pct_s
215.000,0.785000,decay_2pct_s
216.000,0.784000,decay_2pct_s
217.000,0.783000,decay_2pct_s
218.000,0.782000,decay_2pct_s
219.000,0.781000,decay_2pct_s
220.002,0.779998,decay_2pct_s
221.000,0.779000,decay_2pct_s
222.000,0.778000,decay_2pct_s
223.000,0.777000,decay_2pct_s
224.000,0.776000,decay_2pct_s
225.000,0.775000,decay_2pct_s
226.000,0.774000,decay_2pct_s
